logNoOfBits,3,4,5,6,7,8
18,786137,786137,786137,786137,786137,786137
19,785957,786127,786137,786137,786137,786137
20,767595,781348,784882,785858,786095,786130
21,599244,673559,722161,751857,768787,777364
22,278573,332684,395167,461500,525108,580353
23,76603,77847,86142,100001,119381,142764
